X,Y,treeID,dbh_cm_f,h_m_f,dbh_cm_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,cw_avg_m,cw_pi_m,icw_m,h_m_tls,dbh_cm_tls
754251.089289,3389061.85854,250,32.5,7.7,42.4,6.98,9.0,7.522,61.25,8.989,8.83096382707,8.90998191354,0.0,0.0
754219.000144,3389035.23307,258,27.400000000000002,5.7,36.0,5.41,8.1,5.528,43.25,7.793,7.42075537326,7.60687768663,0.0,0.0
754182.715187,3389005.64246,264,31.5,6.2,35.0,6.19,9.6,6.588,58.25,8.735,8.61198022994,8.67349011497,0.0,0.0
754136.1227639999,3388966.80508,277,30.7,7.3,30.0,7.22,8.8,7.626,59.875,9.0225,8.73127812757,8.87688906379,0.0,0.0
754077.939157,3388918.52633,284,31.0,8.2,36.0,7.4,11.2,7.747,81.0,10.2105,10.1554125039,10.1829562519,7.0277838,36.4434493428
754032.060587,3388881.23819,294,27.700000000000003,6.2,31.0,6.1,7.3,6.318,33.875,6.71,6.56741879112,6.63870939556,6.2998178,33.0718913883
753974.669353,3388851.73263,304,20.8,9.2,26.5,8.9,5.7,9.08,24.875,5.829,5.62777342075,5.72838671037,0.0,0.0
754000.953666,3388874.87277,297,15.0,6.3,19.0,6.75,3.7,6.761,11.75,4.0335,3.86788891395,3.95069445697,0.0,0.0
753940.192522,3388819.45549,315,19.3,7.0,28.499999999999996,6.4,4.2,6.62,11.5,4.014,3.82651992866,3.92025996433,0.0,0.0
753936.738705,3388801.79994,317,17.0,4.5,22.0,5.1,5.6,5.32,20.875,5.4425,5.15547044375,5.29898522187,0.0,0.0
753891.204824,3388760.69559,325,20.3,5.9,28.999999999999996,5.37,7.2,5.908,29.625,6.3915,6.14163834109,6.26656917055,0.0,0.0
753809.3796599999,3388703.9168,337,66.0,12.6,75.0,13.2,17.7,13.474,219.875,17.1035,16.7318123614,16.9176561807,0.0,0.0
